# Sciences & Nature — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.

F | Quel est le symbole chimique de l'or ? | Au | Ag | Or | Fe
F | Quelle planète est la plus proche du Soleil ? | Mercure | Vénus | Mars | La Terre
F | Combien d'os compte le squelette d'un adulte ? | 206 | 180 | 256 | 312
M | Quel gaz les plantes absorbent-elles pour la photosynthèse ? | Le dioxyde de carbone | L'oxygène | L'azote | Le méthane
M | Quel organe produit l'insuline ? | Le pancréas | Le foie | La rate | Le rein
M | Combien de paires de chromosomes compte une cellule humaine ? | 23 | 24 | 46 | 21
M | Quel est le plus grand organe du corps humain ? | La peau | Le foie | Les poumons | L'intestin grêle
D | Quelle est l'unité de mesure de la résistance électrique ? | L'ohm | Le volt | L'ampère | Le watt
D | Quel astronome a énoncé les lois du mouvement des planètes ? | Johannes Kepler | Tycho Brahe | Galilée | Copernic
D | Quelle est la planète la plus dense du système solaire ? | La Terre | Mercure | Jupiter | Saturne
F | Quel gaz est le plus abondant dans l'atmosphère terrestre ? | L'azote | L'oxygène | Le dioxyde de carbone | L'argon
F | Combien de pattes compte une araignée ? | Huit | Six | Dix | Quatre
F | Quel organe met le sang en mouvement ? | Le cœur | Le poumon | Le foie | Le rein
M | Quelle est la formule chimique de l'eau ? | H₂O | CO₂ | O₂ | H₂O₂
M | Quel est l'os le plus long du corps humain ? | Le fémur | Le tibia | L'humérus | Le radius
M | Quelle planète porte les anneaux les plus visibles ? | Saturne | Jupiter | Uranus | Neptune
M | À quelle température l'eau bout-elle au niveau de la mer ? | 100 °C | 90 °C | 110 °C | 80 °C
D | Quel métal est liquide à température ambiante ? | Le mercure | Le plomb | Le zinc | L'étain
D | Quelle est l'unité de mesure de la fréquence ? | Le hertz | Le newton | Le joule | Le pascal
D | Quel savant a énoncé le principe de la poussée sur les corps immergés ? | Archimède | Newton | Pascal | Torricelli
F | Quelle planète est surnommée la planète rouge ? | Mars | Vénus | Jupiter | Mercure
F | Quel est le plus grand animal du monde ? | La baleine bleue | L'éléphant d'Afrique | Le requin-baleine | Le cachalot
F | Combien de dents compte un adulte ? | 32 | 28 | 36 | 24
M | Quelle est la vitesse de la lumière dans le vide ? | Environ 300 000 km/s | Environ 30 000 km/s | Environ 3 000 km/s | Environ 3 000 000 km/s
M | Quel savant a découvert la pénicilline ? | Alexander Fleming | Louis Pasteur | Robert Koch | Edward Jenner
M | Quelle partie de l'œil lui donne sa couleur ? | L'iris | La cornée | La rétine | Le cristallin
M | En combien de temps la Terre fait-elle le tour du Soleil ? | Un an | Un mois | Dix ans | Une journée
D | Quel élément est le plus abondant dans l'univers ? | L'hydrogène | L'oxygène | L'hélium | Le carbone
D | Quelle unité mesure la puissance électrique ? | Le watt | Le volt | Le coulomb | Le farad
D | Qui a établi le tableau périodique des éléments ? | Dmitri Mendeleïev | Antoine Lavoisier | Marie Curie | Niels Bohr

# ————— Deuxième fournée —————

F | Combien de planètes compte le système solaire ? | Huit | Neuf | Sept | Dix
F | Quel est le symbole chimique de l'oxygène ? | O | Ox | Og | O₂
F | Quel organe filtre le sang ? | Les reins | Le foie | La rate | Le pancréas
F | Combien de pattes a un insecte ? | Six | Huit | Quatre | Dix
F | Quel est l'animal terrestre le plus rapide à la course ? | Le guépard | Le lion | L'antilope | Le cheval
F | De quelle couleur est le sang riche en oxygène ? | Rouge vif | Rouge sombre | Bleu | Violet
F | Quel gaz l'être humain rejette-t-il en expirant ? | Le dioxyde de carbone | L'oxygène | L'azote | L'hélium
F | Quelle est la plus grande planète du système solaire ? | Jupiter | Saturne | Neptune | La Terre
F | Quel est le plus petit os du corps humain ? | L'étrier | Le marteau | L'enclume | La rotule
F | À quelle température l'eau gèle-t-elle ? | 0 °C | 10 °C | -10 °C | 5 °C
F | Quel animal pond des œufs et allaite ses petits ? | L'ornithorynque | Le kangourou | Le hérisson | La chauve-souris
F | Combien de cavités compte le cœur humain ? | Quatre | Deux | Trois | Cinq
F | Quel astre éclaire la nuit en reflétant la lumière du Soleil ? | La Lune | Vénus | Mars | Sirius
F | Quel est le symbole chimique du fer ? | Fe | Fr | F | Ir
F | Quel organe permet de respirer ? | Les poumons | Le cœur | Le foie | L'estomac
F | Quel est le plus grand des félins ? | Le tigre | Le lion | Le jaguar | Le léopard
F | En combien de temps la Lune fait-elle le tour de la Terre ? | Environ 28 jours | Environ 7 jours | Environ 90 jours | Environ 365 jours
F | Quel arbre produit les glands ? | Le chêne | Le hêtre | Le châtaignier | Le noyer
F | Quel métal est le plus utilisé au monde ? | Le fer | L'aluminium | Le cuivre | Le zinc
F | Quelle force nous retient au sol ? | La gravité | Le magnétisme | La pression | L'inertie
F | Quel sens l'oreille assure-t-elle en plus de l'ouïe ? | L'équilibre | Le goût | L'odorat | Le toucher
F | Combien de doigts compte une main humaine ? | Cinq | Quatre | Six | Trois
