# Écrans & Musique — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.

F | Quel détective habite au 221B Baker Street ? | Sherlock Holmes | Hercule Poirot | Arsène Lupin | Philip Marlowe
F | Quel groupe britannique réunissait John, Paul, George et Ringo ? | Les Beatles | Les Rolling Stones | Les Who | Pink Floyd
F | Quel personnage de J. K. Rowling porte une cicatrice en éclair ? | Harry Potter | Ron Weasley | Drago Malefoy | Neville Londubat
M | Qui a réalisé Le Parrain ? | Francis Ford Coppola | Martin Scorsese | Brian De Palma | Sergio Leone
M | Quel cinéaste est surnommé le maître du suspense ? | Alfred Hitchcock | Orson Welles | Fritz Lang | Stanley Kubrick
M | Quel studio a créé Mickey Mouse ? | Disney | Warner Bros. | Pixar | Metro-Goldwyn-Mayer
M | Comment s'appelle le vaisseau de Han Solo ? | Le Faucon Millenium | L'Étoile Noire | Le Destroyer stellaire | Le Slave I
D | Quel film a reçu l'Oscar du meilleur film en 2020 ? | Parasite | 1917 | Joker | Green Book
D | Quel compositeur a signé les musiques de Star Wars et d'Indiana Jones ? | John Williams | Hans Zimmer | Ennio Morricone | Jerry Goldsmith
D | De quel instrument jouait Louis Armstrong ? | La trompette | Le saxophone | La clarinette | Le trombone
F | Comment se nomme le magicien gris du Seigneur des anneaux ? | Gandalf | Saroumane | Radagast | Elrond
F | Quel instrument compte quatre-vingt-huit touches ? | Le piano | L'orgue | L'accordéon | Le clavecin
F | Quel personnage voit son nez s'allonger quand il ment ? | Pinocchio | Peter Pan | Aladdin | Bambi
M | Qui a réalisé E.T. l'extra-terrestre ? | Steven Spielberg | George Lucas | Ridley Scott | James Cameron
M | Quel film de James Cameron met en scène un naufrage de 1912 ? | Titanic | Avatar | Abyss | Aliens
